feature,importance
Ipc,0.05994989069971067
Chi0,0.05823017387904472
SlogP_VSA5,0.055019548989880436
EState_VSA1,0.05379071219350669
HallKierAlpha,0.053503434784397466
RingCount,0.05341773520647301
BalabanJ,0.05314160044654073
Kappa3,0.05109537220534956
SMR_VSA5,0.05093853677436083
NumAliphaticRings,0.050218161109220213
SMR_VSA4,0.04991793200708092
EState_VSA9,0.04981302325318172
SMR_VSA6,0.04970949577690274
EState_VSA4,0.04913736970044144
EState_VSA10,0.049104011415409383
PEOE_VSA7,0.04883197558623014
SMR_VSA10,0.04851620092271749
NHOHCount,0.04805273754200206
PEOE_VSA9,0.04759705656369312
VSA_EState8,0.04715828548579415
SlogP_VSA8,0.04690521501914311
SMR_VSA9,0.04686074485592053
PEOE_VSA6,0.04623341837015573
PEOE_VSA10,0.046087443651025045
fr_bicyclic,0.044682794674033875
EState_VSA6,0.04435638876453513
NumAromaticRings,0.04406540988876279
fr_ether,0.043977037518687624
SlogP_VSA10,0.04234220506649753
PEOE_VSA11,0.042038202306747006
