"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",82.11,89.58,74.47,78.18,89.58,83.5,88.43,78.16,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",78.95,87.5,70.21,75,87.5,80.77,86.15,78.06,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",27.37,10.42,44.68,16.13,10.42,12.66,80.59,20.53,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",74.74,85.42,63.83,70.69,85.42,77.36,83.42,79.45,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",82.11,97.92,65.96,74.6,97.92,84.68,87.68,80.77,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",83.16,85.42,80.85,82,85.42,83.67,89.27,74.51,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",69.47,77.08,61.7,67.27,77.08,71.84,68.68,78.6,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",67.37,41.67,93.62,86.96,41.67,56.34,85.37,70.04,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",80,89.58,70.21,75.44,89.58,81.9,90.16,66.94,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
