"Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes","Acuracia","Sensibilidade","Especificidade","Precisao","F1","AUC","Acc_CV"
"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",77.07,79.51,74.55,74.37,76.76,91.38,68.81
"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",76.72,79.86,73.48,73.84,76.62,91.19,69.03
"80/20","pruned_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.9,74.31,73.48,72.31,70.93,90.94,66.87
"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",77.25,81.94,72.4,73.31,77.21,90.91,68.58
"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",77.25,80.21,74.19,74.45,77.07,90.81,68.11
"80/20","raw_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.9,74.65,73.12,73.71,72.93,90.79,67.25
"80/20","raw_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.9,75,72.76,73.67,72.49,90.52,66.73
"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",77.95,83.33,72.4,74.38,78.44,90.5,68.1
"80/20","pruned_top_08",8,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.19,72.92,73.48,72.61,70.46,90.35,66.78
"80/20","raw_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein, TFC","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.9,74.31,73.48,74.55,72.71,90.35,67.21
"80/20","raw_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein, TFC, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",76.72,79.86,73.48,73.69,76.52,90.34,68.76
