"Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes","Acuracia","Sensibilidade","Especificidade","Precisao","F1","AUC","Acc_CV"
"80/20","raw_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA, AST, Protein, TFC, Hyperlipidemia, MM","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",77.07,80.55,73.48,74.72,77.38,90.2,68.55
"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",73.54,73.26,73.84,72.17,70.31,90.16,66.21
"80/20","raw_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",74.25,74.31,74.19,73.53,71.96,89.83,67.35
"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4",71.78,73.27,70.25,71.82,70.1,89.59,67.08
"80/20","pruned_top_07",7,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.25,81.6,66.67,69.74,74.91,89.52,68.58
"80/20","raw_top_07",7,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.25,81.6,66.67,69.74,74.91,89.52,68.58
"80/20","raw_top_08",8,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",73.72,81.6,65.59,69.41,74.78,89.11,68.35
"80/20","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4",69.84,68.4,71.33,73.29,65.99,88.91,65.38
"80/20","pruned_top_05",5,"CRP, VitaminD, ECF_TBW, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.6,80.9,68.1,69.77,74.73,88.46,68.06
"80/20","raw_top_05",5,"CRP, VitaminD, ECF_TBW, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.6,80.9,68.1,69.77,74.73,88.46,68.06
"80/20","pruned_top_06",6,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",73.37,79.17,67.38,69.42,73.71,87.79,68.14
"80/20","raw_top_06",6,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",73.37,79.17,67.38,69.42,73.71,87.79,68.14
"80/20","pruned_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",75.48,82.29,68.46,69.43,75.18,87.68,67.31
"80/20","raw_top_04",4,"CRP, VitaminD, ECF_TBW, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",75.48,82.29,68.46,69.43,75.18,87.68,67.31
"80/20","pruned_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.96,84.38,65.23,68.53,75.47,86.87,68.21
"80/20","raw_top_03",3,"CRP, VitaminD, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3",74.96,84.38,65.23,68.53,75.47,86.87,68.21
