"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",82.11,93.75,70.21,76.27,93.75,84.11,88.96,78.2,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",77.89,91.67,63.83,72.13,91.67,80.73,87.19,78.1,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",24.21,10.42,38.3,14.71,10.42,12.2,82.62,20.99,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",76.84,87.5,65.96,72.41,87.5,79.25,84.31,78.54,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",75.79,91.67,59.57,69.84,91.67,79.28,87.77,81.28,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",81.05,89.58,72.34,76.79,89.58,82.69,86.79,75.47,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",65.26,87.5,42.55,60.87,87.5,71.79,68.02,79.43,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",78.95,85.42,72.34,75.93,85.42,80.39,84.84,72.31,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",76.84,87.5,65.96,72.41,87.5,79.25,85.82,70.53,"70/30","pruned_top_11",11,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia, Gender, Protein","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
