"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",82.11,95.83,68.09,75.41,95.83,84.4,84.75,72.31,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",72.63,87.5,57.45,67.74,87.5,76.36,84.35,76.79,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",25.26,12.5,38.3,17.14,12.5,14.46,83.07,19.65,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",73.68,87.5,59.57,68.85,87.5,77.06,77.62,81.24,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",84.21,95.83,72.34,77.97,95.83,85.98,88.54,80.35,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",80,89.58,70.21,75.44,89.58,81.9,88.03,67.83,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",62.11,68.75,55.32,61.11,68.75,64.71,59.97,78.57,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",54.74,16.67,93.62,72.73,16.67,27.12,79.39,62.08,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",75.79,85.42,65.96,71.93,85.42,78.1,83,65.2,"70/30","full_38",38,"Age, Gender, Comorbidity, CAD, Hypothyroidism, Hyperlipidemia, DM, Height, Weight, BMI, TBW, ECW, ICW, ECF_TBW, TBFR, LM, Protein, VFR, BM, MM, Obesity, TFC, VFA, VMA, HFA, Glucose, TC, LDL, HDL, Triglyceride, AST, ALT, ALP, Creatinine, GFR, CRP, HGB, VitaminD","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",75.79,87.5,63.83,71.19,87.5,78.5,81.12,75.89,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
