"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Random Forest",69.47,81.25,57.45,66.1,81.25,72.9,76.04,76.8,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,76.44,20.55,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",71.58,85.42,57.45,67.21,85.42,75.23,78.1,81.24,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",69.47,87.5,51.06,64.62,87.5,74.34,80.23,75,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",67.37,79.17,55.32,64.41,79.17,71.03,73.49,74.11,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",70.53,85.42,55.32,66.13,85.42,74.55,70.21,80.36,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",74.74,91.67,57.45,68.75,91.67,78.57,78.59,75.9,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",68.42,79.17,57.45,65.52,79.17,71.7,74.02,71.01,"70/30","raw_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",77.89,87.5,68.09,73.68,87.5,80,82.67,74.53,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",68.42,72.92,63.83,67.31,72.92,70,78.88,80.35,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,77.46,20.99,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",72.63,85.42,59.57,68.33,85.42,75.93,78.21,80.34,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",74.74,87.5,61.7,70,87.5,77.78,82.27,75.88,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",71.58,81.25,61.7,68.42,81.25,74.29,78.28,74.1,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",70.53,85.42,55.32,66.13,85.42,74.55,70.21,79.47,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",72.63,89.58,55.32,67.19,89.58,76.79,79.96,76.35,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",68.42,79.17,57.45,65.52,79.17,71.7,72.61,72.28,"70/30","raw_top_04",4,"CRP, VitaminD, ECW, BM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",76.84,87.5,65.96,72.41,87.5,79.25,83.87,74.97,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",73.68,83.33,63.83,70.18,83.33,76.19,81.98,77.68,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,77.79,22.33,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",71.58,85.42,57.45,67.21,85.42,75.23,77.13,79.91,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",74.74,87.5,61.7,70,87.5,77.78,84.57,76.8,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",82.11,85.42,78.72,80.39,85.42,82.83,85.55,74.53,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",69.47,75,63.83,67.92,75,71.29,72.36,79.46,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",73.68,89.58,57.45,68.25,89.58,77.48,80.85,75,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",72.63,81.25,63.83,69.64,81.25,75,78.35,70.09,"70/30","raw_top_05",5,"CRP, VitaminD, ECW, BM, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",77.89,87.5,68.09,73.68,87.5,80,83.55,73.63,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",72.63,83.33,61.7,68.97,83.33,75.47,81.07,79.45,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",24.21,14.58,34.04,18.42,14.58,16.28,80.32,20.54,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",69.47,83.33,55.32,65.57,83.33,73.39,79.54,79.47,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",78.95,89.58,68.09,74.14,89.58,81.13,83.42,75.89,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",77.89,83.33,72.34,75.47,83.33,79.21,83.62,75.42,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.01,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",74.74,91.67,57.45,68.75,91.67,78.57,81.56,78.14,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",70.53,79.17,61.7,67.86,79.17,73.08,76.53,71.43,"70/30","raw_top_06",6,"CRP, VitaminD, ECW, BM, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",83.16,93.75,72.34,77.59,93.75,84.91,87.1,76.78,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",75.79,85.42,65.96,71.93,85.42,78.1,82.78,77.22,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",26.32,14.58,38.3,19.44,14.58,16.67,82.31,20.55,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",70.53,81.25,59.57,67.24,81.25,73.58,80.32,79.02,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",77.89,93.75,61.7,71.43,93.75,81.08,85.73,79.91,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",81.05,85.42,76.6,78.85,85.42,82,84.71,75.42,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.01,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",75.79,91.67,59.57,69.84,91.67,79.28,83.16,77.7,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",74.74,85.42,63.83,70.69,85.42,77.36,81.52,65.61,"70/30","raw_top_07",7,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",83.16,93.75,72.34,77.59,93.75,84.91,86.92,77.23,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",73.68,83.33,63.83,70.18,83.33,76.19,82.96,77.22,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",26.32,14.58,38.3,19.44,14.58,16.67,82.09,19.66,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",74.74,85.42,63.83,70.69,85.42,77.36,80.94,79,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",77.89,93.75,61.7,71.43,93.75,81.08,85.73,79.46,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",81.05,85.42,76.6,78.85,85.42,82,84.13,74.08,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.01,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",75.79,89.58,61.7,70.49,89.58,78.9,84.04,77.25,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",72.63,85.42,59.57,68.33,85.42,75.93,81.8,66.51,"70/30","raw_top_08",8,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",82.11,93.75,70.21,76.27,93.75,84.11,86.7,76.81,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",75.79,85.42,65.96,71.93,85.42,78.1,83.84,79.89,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,10.42,44.68,16.13,10.42,12.66,78.99,22.77,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",75.79,89.58,61.7,70.49,89.58,78.9,80.23,79.91,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",77.89,93.75,61.7,71.43,93.75,81.08,85.24,79.47,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",81.05,85.42,76.6,78.85,85.42,82,83.73,75,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.01,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",75.79,89.58,61.7,70.49,89.58,78.9,83.16,75.47,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",76.84,87.5,65.96,72.41,87.5,79.25,81.14,66.48,"70/30","raw_top_09",9,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",82.11,89.58,74.47,78.18,89.58,83.5,88.43,75.91,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",76.84,85.42,68.09,73.21,85.42,78.85,86.19,77.68,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",24.21,10.42,38.3,14.71,10.42,12.2,82.67,19.66,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",75.79,89.58,61.7,70.49,89.58,78.9,80.9,81.24,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",82.11,97.92,65.96,74.6,97.92,84.68,87.68,80.8,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.11,85.42,78.72,80.39,85.42,82.83,89.27,73.18,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",67.37,41.67,93.62,86.96,41.67,56.34,85.37,71.02,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",80,93.75,65.96,73.77,93.75,82.57,89.32,64.71,"70/30","raw_top_10",10,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",82.11,89.58,74.47,78.18,89.58,83.5,88.61,74.11,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",75.79,83.33,68.09,72.73,83.33,77.67,85.04,79.01,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",27.37,10.42,44.68,16.13,10.42,12.66,78.15,21.88,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",75.79,87.5,63.83,71.19,87.5,78.5,78.72,82.13,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",83.16,97.92,68.09,75.81,97.92,85.45,87.77,80.8,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.11,87.5,76.6,79.25,87.5,83.17,88.83,73.63,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",66.32,41.67,91.49,83.33,41.67,55.56,84.49,71.02,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",81.05,91.67,70.21,75.86,91.67,83.02,89.03,64.69,"70/30","raw_top_11",11,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",82.11,91.67,72.34,77.19,91.67,83.81,88.48,77.24,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",78.95,85.42,72.34,75.93,85.42,80.39,85.08,78.11,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",26.32,10.42,42.55,15.63,10.42,12.5,78.24,21.87,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
