"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",84.13,93.75,74.19,78.95,93.75,85.71,90.62,77.31,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",85.71,87.5,83.87,84.85,87.5,86.15,92.04,77.35,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",11.11,6.25,16.13,7.14,6.25,6.67,93.45,23,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",87.3,93.75,80.65,83.33,93.75,88.24,92.94,77.02,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",85.71,96.88,74.19,79.49,96.88,87.32,91.83,78.52,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.54,93.75,70.97,76.92,93.75,84.51,88.1,74.22,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",79.37,90.62,67.74,74.36,90.62,81.69,86.04,70.28,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",60.32,25,96.77,88.89,25,39.02,93.45,64.83,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",74.6,87.5,61.29,70,87.5,77.78,90.47,71.54,"80/20","raw_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, LM, HFA, VFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
