"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"SVM Radial",84.13,90.62,77.42,80.56,90.62,85.29,92.74,73.02,"80/20","pruned_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.89,"80/20","pruned_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",53.97,15.62,93.55,71.43,15.62,25.64,87.1,54.75,"80/20","pruned_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",84.13,96.88,70.97,77.5,96.88,86.11,91.28,71.45,"80/20","pruned_top_09",9,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",88.89,93.75,83.87,85.71,93.75,89.55,90.22,75.37,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,90.62,87.1,87.88,90.62,89.23,94.76,76.5,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",19.05,9.38,29.03,12,9.38,10.53,93.04,23.09,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",82.54,90.62,74.19,78.38,90.62,84.06,93.35,76.54,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",85.71,100,70.97,78.05,100,87.67,90.52,77.7,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",85.71,87.5,83.87,84.85,87.5,86.15,90.52,73.4,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.89,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",53.97,15.62,93.55,71.43,15.62,25.64,87.1,54.35,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",80.95,96.88,64.52,73.81,96.88,83.78,89.67,69.07,"80/20","pruned_top_10",10,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",92.06,96.88,87.1,88.57,96.88,92.54,90.62,76.94,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,93.75,83.87,85.71,93.75,89.55,94.96,75.72,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",20.63,15.62,25.81,17.86,15.62,16.67,92.34,21.53,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",82.54,90.62,74.19,78.38,90.62,84.06,93.35,76.54,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",87.3,100,74.19,80,100,88.89,91.73,78.07,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",87.3,90.62,83.87,85.29,90.62,87.88,90.73,74.57,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.89,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",84.13,90.62,77.42,80.56,90.62,85.29,87.45,69,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",82.54,96.88,67.74,75.61,96.88,84.93,91.03,70.64,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",92.06,96.88,87.1,88.57,96.88,92.54,90.62,77.33,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",87.3,93.75,80.65,83.33,93.75,88.24,94.46,76.1,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",15.87,6.25,25.81,8,6.25,7.02,93.04,21.53,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",84.13,93.75,74.19,78.95,93.75,85.71,92.84,77.25,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",87.3,100,74.19,80,100,88.89,92.14,79.23,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",85.71,90.62,80.65,82.86,90.62,86.57,92.14,74.58,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.49,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",87.3,87.5,87.1,87.5,87.5,87.5,93.75,71.44,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",79.37,93.75,64.52,73.17,93.75,82.19,86.9,70.25,"80/20","pruned_top_12",12,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",88.89,93.75,83.87,85.71,93.75,89.55,90.22,76.53,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,90.62,87.1,87.88,90.62,89.23,94,75.34,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",14.29,6.25,22.58,7.69,6.25,6.9,93.25,23.1,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",85.71,96.88,74.19,79.49,96.88,87.32,94.25,76.92,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",88.89,100,77.42,82.05,100,90.14,91.83,78.46,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",84.13,87.5,80.65,82.35,87.5,84.85,91.73,74.58,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.49,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",88.89,87.5,90.32,90.32,87.5,88.89,92.64,71.03,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",79.37,84.38,74.19,77.14,84.38,80.6,87.15,67.56,"80/20","pruned_top_13",13,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",90.48,96.88,83.87,86.11,96.88,91.18,92.14,79.3,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,93.75,83.87,85.71,93.75,89.55,94.86,77.31,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",14.29,6.25,22.58,7.69,6.25,6.9,93.25,23.1,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",85.71,96.88,74.19,79.49,96.88,87.32,94.25,76.89,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",85.71,90.62,80.65,82.86,90.62,86.57,93.45,81.6,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",80.95,87.5,74.19,77.78,87.5,82.35,91.63,74.17,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.49,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",88.89,87.5,90.32,90.32,87.5,88.89,92.24,71.81,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",79.37,84.38,74.19,77.14,84.38,80.6,86.59,67.56,"80/20","pruned_top_14",14,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",88.89,93.75,83.87,85.71,93.75,89.55,91.94,78.9,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,93.75,83.87,85.71,93.75,89.55,95.11,76.53,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",15.87,6.25,25.81,8,6.25,7.02,93.15,21.94,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",87.3,90.62,83.87,85.29,90.62,87.88,94.15,77.66,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",85.71,90.62,80.65,82.86,90.62,86.57,93.45,80.45,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.54,90.62,74.19,78.38,90.62,84.06,92.14,74.97,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",76.19,75,77.42,77.42,75,76.19,82.26,69.49,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",88.89,87.5,90.32,90.32,87.5,88.89,91.94,70.66,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",79.37,87.5,70.97,75.68,87.5,81.16,88.31,68.68,"80/20","pruned_top_15",15,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia, HGB, Height, Gender, VFR","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
