"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Logistic Regression",92.06,96.88,87.1,88.57,96.88,92.54,90.62,79.31,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",88.89,93.75,83.87,85.71,93.75,89.55,94.76,78.51,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",12.7,9.38,16.13,10.34,9.38,9.84,93.95,21.46,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",84.13,84.38,83.87,84.38,84.38,84.38,90.73,79.69,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",85.71,96.88,74.19,79.49,96.88,87.32,90.42,78.54,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",84.13,90.62,77.42,80.56,90.62,85.29,92.14,78.94,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",79.37,90.62,67.74,74.36,90.62,81.69,86.04,68.72,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",84.13,84.38,83.87,84.38,84.38,84.38,93.25,75.72,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",80.95,90.62,70.97,76.32,90.62,82.86,92.04,70.77,"80/20","pruned_top_11",11,"CRP, VitaminD, ECF_TBW, ECW, BM, TBFR, VMA, HFA, AST, Protein, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
