Cenario,Modelo,Especificidade,Sensitividade,Falso_Positivo
Completa,Regressao Logistica,0.82,0.6290322580645161,0.18000000000000005
Completa,Regressao Logistica,0.84,0.6290322580645161,0.16000000000000003
Completa,Regressao Logistica,0.84,0.6209677419354839,0.16000000000000003
Completa,Regressao Logistica,0.84,0.6129032258064516,0.16000000000000003
Completa,Regressao Logistica,0.84,0.6048387096774194,0.16000000000000003
Completa,Regressao Logistica,0.84,0.5967741935483871,0.16000000000000003
Completa,Regressao Logistica,0.84,0.5887096774193549,0.16000000000000003
Completa,Regressao Logistica,0.84,0.5806451612903226,0.16000000000000003
Completa,Regressao Logistica,0.86,0.5806451612903226,0.14
Completa,Regressao Logistica,0.86,0.5725806451612904,0.14
Completa,Regressao Logistica,0.86,0.5645161290322581,0.14
Completa,Regressao Logistica,0.88,0.5645161290322581,0.12
Completa,Regressao Logistica,0.88,0.5564516129032258,0.12
Completa,Regressao Logistica,0.88,0.5483870967741935,0.12
Completa,Regressao Logistica,0.88,0.5403225806451613,0.12
Completa,Regressao Logistica,0.88,0.532258064516129,0.12
Completa,Regressao Logistica,0.88,0.5241935483870968,0.12
Completa,Regressao Logistica,0.88,0.5161290322580645,0.12
Completa,Regressao Logistica,0.9,0.5161290322580645,0.09999999999999998
Completa,Regressao Logistica,0.9,0.5080645161290323,0.09999999999999998
Completa,Regressao Logistica,0.9,0.5,0.09999999999999998
Completa,Regressao Logistica,0.9,0.49193548387096775,0.09999999999999998
Completa,Regressao Logistica,0.9,0.4838709677419355,0.09999999999999998
Completa,Regressao Logistica,0.92,0.4838709677419355,0.07999999999999996
Completa,Regressao Logistica,0.92,0.47580645161290325,0.07999999999999996
Completa,Regressao Logistica,0.92,0.46774193548387094,0.07999999999999996
Completa,Regressao Logistica,0.92,0.4596774193548387,0.07999999999999996
Completa,Regressao Logistica,0.92,0.45161290322580644,0.07999999999999996
Completa,Regressao Logistica,0.92,0.4435483870967742,0.07999999999999996
Completa,Regressao Logistica,0.92,0.43548387096774194,0.07999999999999996
Completa,Regressao Logistica,0.92,0.4274193548387097,0.07999999999999996
Completa,Regressao Logistica,0.94,0.4274193548387097,0.06000000000000005
Completa,Regressao Logistica,0.94,0.41935483870967744,0.06000000000000005
Completa,Regressao Logistica,0.94,0.4112903225806452,0.06000000000000005
Completa,Regressao Logistica,0.94,0.4032258064516129,0.06000000000000005
Completa,Regressao Logistica,0.94,0.3951612903225806,0.06000000000000005
Completa,Regressao Logistica,0.94,0.3870967741935484,0.06000000000000005
Completa,Regressao Logistica,0.96,0.3870967741935484,0.040000000000000036
Completa,Regressao Logistica,0.96,0.3790322580645161,0.040000000000000036
Completa,Regressao Logistica,0.96,0.3709677419354839,0.040000000000000036
Completa,Regressao Logistica,0.96,0.3629032258064516,0.040000000000000036
