Cenario,Modelo,Acuracia,Sensitividade,Especificidade,Precisao,Recall,F1,AUC,Score_Geral
Completa,Regressao Logistica,0.6839080459770115,0.6209677419354839,0.84,0.9058823529411765,0.6209677419354839,0.7368421052631579,0.7683870967741936,0.7300209979899693
Completa,Random Forest,0.7298850574712644,0.8306451612903226,0.48,0.7984496124031008,0.8306451612903226,0.8142292490118577,0.7798387096774194,0.7269196354901728
Completa,Naive Bayes,0.6494252873563219,0.5887096774193549,0.8,0.8795180722891567,0.5887096774193549,0.7053140096618359,0.7232258064516128,0.6933349561778251
Completa,SVM Radial,0.6609195402298851,0.6612903225806451,0.66,0.8282828282828284,0.6612903225806451,0.7354260089686099,0.7446774193548387,0.6924626582267958
