Cenario,Modelo,Especificidade,Sensitividade,Falso_Positivo
Homens,Regressao Logistica,0,1,1
Homens,Regressao Logistica,0,0.9896907216494846,1
Homens,Regressao Logistica,0,0.979381443298969,1
Homens,Regressao Logistica,0,0.9690721649484536,1
Homens,Regressao Logistica,0.02857142857142857,0.9690721649484536,0.9714285714285714
Homens,Regressao Logistica,0.05714285714285714,0.9690721649484536,0.9428571428571428
Homens,Regressao Logistica,0.05714285714285714,0.9587628865979382,0.9428571428571428
Homens,Regressao Logistica,0.08571428571428572,0.9587628865979382,0.9142857142857143
Homens,Regressao Logistica,0.11428571428571428,0.9587628865979382,0.8857142857142857
Homens,Regressao Logistica,0.14285714285714285,0.9587628865979382,0.8571428571428572
Homens,Regressao Logistica,0.17142857142857143,0.9587628865979382,0.8285714285714285
Homens,Regressao Logistica,0.17142857142857143,0.9484536082474226,0.8285714285714285
Homens,Regressao Logistica,0.2,0.9484536082474226,0.8
Homens,Regressao Logistica,0.2,0.9381443298969072,0.8
Homens,Regressao Logistica,0.2,0.9278350515463918,0.8
Homens,Regressao Logistica,0.2,0.9175257731958762,0.8
Homens,Regressao Logistica,0.22857142857142856,0.9175257731958762,0.7714285714285715
Homens,Regressao Logistica,0.22857142857142856,0.9072164948453608,0.7714285714285715
Homens,Regressao Logistica,0.22857142857142856,0.8969072164948454,0.7714285714285715
Homens,Regressao Logistica,0.2571428571428571,0.8969072164948454,0.7428571428571429
Homens,Regressao Logistica,0.2571428571428571,0.8865979381443299,0.7428571428571429
Homens,Regressao Logistica,0.2571428571428571,0.8762886597938144,0.7428571428571429
Homens,Regressao Logistica,0.2857142857142857,0.8762886597938144,0.7142857142857143
Homens,Regressao Logistica,0.2857142857142857,0.865979381443299,0.7142857142857143
Homens,Regressao Logistica,0.3142857142857143,0.865979381443299,0.6857142857142857
Homens,Regressao Logistica,0.34285714285714286,0.865979381443299,0.6571428571428571
Homens,Regressao Logistica,0.37142857142857144,0.865979381443299,0.6285714285714286
Homens,Regressao Logistica,0.37142857142857144,0.8556701030927835,0.6285714285714286
Homens,Regressao Logistica,0.37142857142857144,0.845360824742268,0.6285714285714286
Homens,Regressao Logistica,0.37142857142857144,0.8350515463917526,0.6285714285714286
Homens,Regressao Logistica,0.37142857142857144,0.8247422680412371,0.6285714285714286
Homens,Regressao Logistica,0.4,0.8247422680412371,0.6
Homens,Regressao Logistica,0.4,0.8144329896907216,0.6
Homens,Regressao Logistica,0.42857142857142855,0.8144329896907216,0.5714285714285714
Homens,Regressao Logistica,0.42857142857142855,0.8041237113402062,0.5714285714285714
Homens,Regressao Logistica,0.45714285714285713,0.8041237113402062,0.5428571428571429
Homens,Regressao Logistica,0.45714285714285713,0.7938144329896907,0.5428571428571429
Homens,Regressao Logistica,0.4857142857142857,0.7938144329896907,0.5142857142857142
Homens,Regressao Logistica,0.4857142857142857,0.7835051546391752,0.5142857142857142
Homens,Regressao Logistica,0.4857142857142857,0.7731958762886598,0.5142857142857142
Homens,Regressao Logistica,0.4857142857142857,0.7628865979381443,0.5142857142857142
Homens,Regressao Logistica,0.5142857142857142,0.7628865979381443,0.48571428571428577
Homens,Regressao Logistica,0.5428571428571428,0.7628865979381443,0.4571428571428572
Homens,Regressao Logistica,0.5714285714285714,0.7628865979381443,0.4285714285714286
Homens,Regressao Logistica,0.6,0.7628865979381443,0.4
Homens,Regressao Logistica,0.6,0.7525773195876289,0.4
Homens,Regressao Logistica,0.6,0.7422680412371134,0.4
Homens,Regressao Logistica,0.6,0.7319587628865979,0.4
Homens,Regressao Logistica,0.6285714285714286,0.7319587628865979,0.37142857142857144
Homens,Regressao Logistica,0.6285714285714286,0.7216494845360825,0.37142857142857144
Homens,Regressao Logistica,0.6285714285714286,0.711340206185567,0.37142857142857144
Homens,Regressao Logistica,0.6571428571428571,0.711340206185567,0.34285714285714286
Homens,Regressao Logistica,0.6857142857142857,0.711340206185567,0.3142857142857143
Homens,Regressao Logistica,0.6857142857142857,0.7010309278350515,0.3142857142857143
Homens,Regressao Logistica,0.6857142857142857,0.6907216494845361,0.3142857142857143
Homens,Regressao Logistica,0.7142857142857143,0.6907216494845361,0.2857142857142857
Homens,Regressao Logistica,0.7142857142857143,0.6804123711340206,0.2857142857142857
Homens,Regressao Logistica,0.7142857142857143,0.6701030927835051,0.2857142857142857
