"Term","Estimate","Std_error","T_value","P_value"
"(Intercept)",5.99381507488527,0.669880389674104,8.94758999856862,1.16180861473753e-16
"MFat",0.404300190044581,0.0732265839696856,5.52122150354513,8.9560975730783e-08
"MChalky",-0.10968863950324,0.0597506585442594,-1.83577289649436,0.0676656295468244
"MButter",-0.139144799782297,0.0698012106744555,-1.99344393081163,0.0473790131771215
"NOldmilk",-0.0967855865962871,0.0776721759463816,-1.24607796056982,0.213987198839186
"MSweet",0.294898526598482,0.0785566270178414,3.75396115889123,0.000219852564885346
"EGrainy",-0.142604579264161,0.0562212946607158,-2.53648693301623,0.0118513855846397
